Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,0.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1650,1700,1700,06 Aug 2021,2021,Aug,6,2021-08-06
1,1.0,1.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,2150,2150,2150,25 Aug 2021,2021,Aug,25,2021-08-25
2,2.0,2.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1675,1700,1700,19 Jul 2021,2021,Jul,19,2021-07-19
3,3.0,3.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1706,1706,1706,09 Aug 2021,2021,Aug,9,2021-08-09
4,4.0,4.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1717,1737,1725,23 Aug 2021,2021,Aug,23,2021-08-23
5,5.0,5.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1700,1709,1709,26 Jul 2021,2021,Jul,26,2021-07-26
6,6.0,6.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1725,1800,1766,27 Aug 2021,2021,Aug,27,2021-08-27
7,7.0,7.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1750,1750,1750,01 Sep 2021,2021,Sep,1,2021-09-01
8,8.0,8.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1750,1811,1750,30 Aug 2021,2021,Aug,30,2021-08-30
9,9.0,9.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1675,1826,1675,16 Jul 2021,2021,Jul,16,2021-07-16
10,10.0,10.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1700,1719,1715,16 Aug 2021,2021,Aug,16,2021-08-16
11,11.0,11.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1750,1752,1750,26 Apr 2021,2021,Apr,26,2021-04-26
12,12.0,12.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1730,1769,1759,30 Apr 2021,2021,Apr,30,2021-04-30
13,13.0,13.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1750,1813,1750,28 Aug 2021,2021,Aug,28,2021-08-28
14,14.0,14.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1725,1769,1725,25 Aug 2021,2021,Aug,25,2021-08-25
15,15.0,15.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,1711,1711,1711,22 Feb 2022,2022,Feb,22,2022-02-22
16,16.0,16.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,1800,2502,2205,08 Jun 2022,2022,Jun,8,2022-06-08
17,17.0,17.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,2400,2400,2400,25 Apr 2022,2022,Apr,25,2022-04-25
18,18.0,18.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1909,1951,1909,11 Jan 2022,2022,Jan,11,2022-01-11
19,19.0,19.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2050,2189,2189,11 Apr 2022,2022,Apr,11,2022-04-11
20,20.0,20.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2150,2203,2150,22 Mar 2022,2022,Mar,22,2022-03-22
21,21.0,21.0,Adilabad,Boath,Wheat,147 Average,FAQ,2015,2200,2050,24 May 2022,2022,May,24,2022-05-24
22,22.0,22.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,1650,2556,1650,01 Jun 2022,2022,Jun,1,2022-06-01
23,23.0,23.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1750,1750,1750,01 Sep 2021,2021,Sep,1,2021-09-01
24,24.0,24.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1750,1839,1839,08 Nov 2021,2021,Nov,8,2021-11-08
25,25.0,25.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1836,1850,1850,16 Sep 2021,2021,Sep,16,2021-09-16
26,26.0,26.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1925,1950,1925,31 Dec 2021,2021,Dec,31,2021-12-31
27,27.0,27.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1950,1950,1950,17 Feb 2022,2022,Feb,17,2022-02-17
28,28.0,28.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1950,1950,1950,19 Feb 2022,2022,Feb,19,2022-02-19
29,29.0,29.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1950,1950,1950,24 Jan 2022,2022,Jan,24,2022-01-24
30,30.0,30.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2051,2303,2051,18 Apr 2022,2022,Apr,18,2022-04-18
31,31.0,31.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2168,2168,2168,19 Aug 2022,2022,Aug,19,2022-08-19
32,32.0,32.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2190,2190,2190,20 Apr 2022,2022,Apr,20,2022-04-20
33,33.0,33.0,Adilabad,Boath,Wheat,147 Average,FAQ,2015,2200,2050,22 May 2022,2022,May,22,2022-05-22
34,34.0,34.0,Adilabad,Boath,Wheat,147 Average,FAQ,2015,2200,2050,23 May 2022,2022,May,23,2022-05-23
35,35.0,35.0,Adilabad,Boath,Wheat,147 Average,FAQ,2015,2200,2100,21 May 2022,2022,May,21,2022-05-21
36,36.0,36.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,1555,1555,1555,23 Oct 2021,2021,Oct,23,2021-10-23
37,37.0,37.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1750,1750,1750,25 Oct 2021,2021,Oct,25,2021-10-25
38,38.0,38.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1810,1810,1810,10 Nov 2021,2021,Nov,10,2021-11-10
39,39.0,39.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1950,1950,1950,26 Feb 2022,2022,Feb,26,2022-02-26
40,40.0,40.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1951,2030,2030,12 Jan 2022,2022,Jan,12,2022-01-12
41,41.0,41.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2305,2353,2353,11 May 2022,2022,May,11,2022-05-11
42,42.0,42.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2313,2313,2313,18 Jun 2022,2022,Jun,18,2022-06-18
43,43.0,43.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2323,2343,2323,21 Apr 2022,2022,Apr,21,2022-04-21
44,44.0,44.0,Medak,Jogipet,Wheat,147 Average,FAQ,2300,2300,2300,28 Mar 2022,2022,Mar,28,2022-03-28
45,45.0,45.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,1116,2007,2007,13 Apr 2022,2022,Apr,13,2022-04-13
46,46.0,46.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,1818,2555,1818,06 Jul 2022,2022,Jul,6,2022-07-06
47,47.0,47.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,1855,1855,1855,25 Sep 2021,2021,Sep,25,2021-09-25
48,48.0,48.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1775,1829,1829,15 Sep 2021,2021,Sep,15,2021-09-15
49,49.0,49.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1809,2218,2060,15 Jun 2022,2022,Jun,15,2022-06-15
50,50.0,50.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1942,1942,1942,15 Feb 2022,2022,Feb,15,2022-02-15
51,51.0,51.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1950,1950,1950,18 Feb 2022,2022,Feb,18,2022-02-18
52,52.0,52.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2169,2169,2169,26 Mar 2022,2022,Mar,26,2022-03-26
53,53.0,53.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2216,2275,2275,13 Jun 2022,2022,Jun,13,2022-06-13
54,54.0,54.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2250,2323,2250,25 Apr 2022,2022,Apr,25,2022-04-25
55,55.0,55.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,2100,2500,2500,22 Apr 2022,2022,Apr,22,2022-04-22
56,56.0,56.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1709,1812,1709,24 Sep 2021,2021,Sep,24,2021-09-24
57,57.0,57.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1952,1952,1952,12 Feb 2022,2022,Feb,12,2022-02-12
58,58.0,58.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2059,2361,2059,13 May 2022,2022,May,13,2022-05-13
59,59.0,59.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2075,2150,2100,11 Mar 2022,2022,Mar,11,2022-03-11
60,60.0,60.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2089,2359,2300,05 May 2022,2022,May,5,2022-05-05
61,61.0,61.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2100,2100,2100,18 Jul 2022,2022,Jul,18,2022-07-18
62,62.0,62.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2190,2222,2199,12 Jul 2022,2022,Jul,12,2022-07-12
63,63.0,63.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,1855,1855,1855,21 May 2022,2022,May,21,2022-05-21
64,64.0,64.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,2259,2259,2259,03 Jun 2022,2022,Jun,3,2022-06-03
65,65.0,65.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,2349,2349,2349,12 May 2022,2022,May,12,2022-05-12
66,66.0,66.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1750,1750,1750,11 Oct 2021,2021,Oct,11,2021-10-11
67,67.0,67.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1819,1819,1819,17 Sep 2021,2021,Sep,17,2021-09-17
68,68.0,68.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1950,2010,1950,22 Feb 2022,2022,Feb,22,2022-02-22
