0,1,2,3,4,5,6,7,8,9
1,Sirsa,Ellanabad,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3585,3585,3585,01 Sep 2017
2,Sirsa,Ellanabad,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4957,5017,5001,08 Apr 2017
3,Sirsa,Ellanabad,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5091,5117,5091,10 Apr 2017
4,Hissar,Hissar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5100,5100,5100,07 Mar 2017
5,Hissar,Hissar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5400,6000,6000,18 Oct 2016
6,Hissar,Hissar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5900,6200,6000,24 Nov 2016
7,Mahendragarh-Narnaul,Narnaul,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5000,5000,5000,24 Oct 2016
8,Mahendragarh-Narnaul,Narnaul,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5400,6500,5500,05 Nov 2016
9,Mahendragarh-Narnaul,Narnaul,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6780,8790,8790,28 Oct 2016
10,Jind,Pillukhera,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4400,9800,6000,27 Jun 2017
11,Jind,Pillukhera,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5000,5000,5000,27 May 2017
12,Jind,Pillukhera,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5000,5500,5500,22 Sep 2016
13,Jind,Pillukhera,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5000,5700,5000,21 Jun 2017
14,Jind,Pillukhera,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5000,5700,5000,23 Jun 2017
15,Jind,Pillukhera,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5000,6000,5500,19 Aug 2017
16,Jind,Pillukhera,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5000,6000,5500,20 Mar 2017
17,Jind,Pillukhera,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5000,6000,6000,25 Jul 2017
18,Jind,Pillukhera,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5000,6000,6000,25 May 2017
19,Jind,Pillukhera,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5500,6000,5500,14 Sep 2016
20,Jind,Pillukhera,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5500,6000,6000,24 Aug 2017
21,Jind,Pillukhera,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5500,6500,6000,21 Mar 2017
22,Jind,Pillukhera,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6000,6000,6000,10 Jul 2017
23,Jind,Pillukhera,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6000,6000,6000,21 Feb 2017
24,Jind,Pillukhera,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6000,6000,6000,27 Jul 2017
25,Jind,Pillukhera,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6000,6000,6000,29 Aug 2017
26,Jind,Pillukhera,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6000,6300,6000,21 Jul 2017
27,Jind,Pillukhera,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6000,6600,6000,23 Sep 2016
28,Jind,Pillukhera,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6300,6300,6300,11 Jul 2017
29,Jind,Pillukhera,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6440,11950,11550,06 Sep 2016
