0,1,2,3,4,5,6,7,8,9
1,South Andaman,Port Blair,Potato,Other,FAQ,2000,4000,3000,29 Jan 2022
2,South Andaman,Port Blair,Potato,Other,FAQ,2000,4000,3000,31 Jan 2022
3,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,02 May 2022
4,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,04 Apr 2022
5,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,04 May 2022
6,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,05 Apr 2022
7,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,05 May 2022
8,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,06 Apr 2022
9,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,07 Apr 2022
10,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,09 Apr 2022
11,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,14 Mar 2022
12,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,15 Mar 2022
13,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,16 Mar 2022
14,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,17 Mar 2022
15,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,18 Apr 2022
16,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,19 Apr 2022
17,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,19 Mar 2022
18,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,20 Apr 2022
19,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,21 Apr 2022
20,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,21 Mar 2022
21,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,22 Mar 2022
22,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,23 Mar 2022
23,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,25 Apr 2022
24,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,25 Mar 2022
25,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,26 Apr 2022
26,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,26 Mar 2022
27,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,27 Apr 2022
28,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,28 Apr 2022
29,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,29 Apr 2022
30,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,30 Apr 2022
