,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5000,6000,5500,22 Nov 2020,2020,Nov,22,2020-11-22
1,1.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5000,6000,5500,25 Oct 2020,2020,Oct,25,2020-10-25
2,2.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5000,6000,5500,29 Nov 2020,2020,Nov,29,2020-11-29
3,3.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5500,6500,6000,01 Nov 2020,2020,Nov,1,2020-11-01
4,4.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5500,6500,6000,03 Dec 2020,2020,Dec,3,2020-12-03
5,5.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5500,6500,6000,05 Nov 2020,2020,Nov,5,2020-11-05
6,6.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5500,6500,6000,06 Dec 2020,2020,Dec,6,2020-12-06
7,7.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5500,6500,6000,06 Sep 2020,2020,Sep,6,2020-09-06
8,8.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5500,6500,6000,08 Nov 2020,2020,Nov,8,2020-11-08
9,9.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5500,6500,6000,10 Dec 2020,2020,Dec,10,2020-12-10
10,10.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5500,6500,6000,10 Sep 2020,2020,Sep,10,2020-09-10
11,11.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5500,6500,6000,11 Oct 2020,2020,Oct,11,2020-10-11
12,12.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5500,6500,6000,12 Nov 2020,2020,Nov,12,2020-11-12
13,13.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5500,6500,6000,13 Dec 2020,2020,Dec,13,2020-12-13
14,14.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5500,6500,6000,15 Oct 2020,2020,Oct,15,2020-10-15
15,15.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5500,6500,6000,17 Dec 2020,2020,Dec,17,2020-12-17
16,16.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5500,6500,6000,17 Sep 2020,2020,Sep,17,2020-09-17
17,17.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5500,6500,6000,18 Oct 2020,2020,Oct,18,2020-10-18
18,18.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5500,6500,6000,19 Nov 2020,2020,Nov,19,2020-11-19
19,19.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5500,6500,6000,20 Sep 2020,2020,Sep,20,2020-09-20
20,20.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5500,6500,6000,22 Oct 2020,2020,Oct,22,2020-10-22
21,21.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5500,6500,6000,24 Sep 2020,2020,Sep,24,2020-09-24
22,22.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,5500,6500,6000,29 Oct 2020,2020,Oct,29,2020-10-29
23,23.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,6000,7000,6500,01 Oct 2020,2020,Oct,1,2020-10-01
24,24.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,6000,7000,6500,03 Sep 2020,2020,Sep,3,2020-09-03
25,25.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,6000,7000,6500,04 Oct 2020,2020,Oct,4,2020-10-04
26,26.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,6000,7000,6500,20 Dec 2020,2020,Dec,20,2020-12-20
27,27.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,6000,7000,6500,27 Sep 2020,2020,Sep,27,2020-09-27
28,28.0,Sepahijala,Boxonagar,Gur(Jaggery),Other,FAQ,6000,7000,6500,28 Sep 2020,2020,Sep,28,2020-09-28
29,29.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6250,6800,6500,07 Sep 2020,2020,Sep,7,2020-09-07
30,30.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6720,6800,6750,01 Oct 2020,2020,Oct,1,2020-10-01
31,31.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6720,6800,6750,08 Sep 2020,2020,Sep,8,2020-09-08
32,32.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6720,6800,6750,09 Oct 2020,2020,Oct,9,2020-10-09
33,33.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6720,6800,6750,09 Sep 2020,2020,Sep,9,2020-09-09
34,34.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6720,6800,6750,10 Sep 2020,2020,Sep,10,2020-09-10
35,35.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6720,6800,6750,11 Sep 2020,2020,Sep,11,2020-09-11
36,36.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6720,6800,6750,12 Sep 2020,2020,Sep,12,2020-09-12
37,37.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6720,6800,6750,17 Sep 2020,2020,Sep,17,2020-09-17
38,38.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6720,6800,6750,25 Sep 2020,2020,Sep,25,2020-09-25
39,39.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6720,6800,6760,03 Oct 2020,2020,Oct,3,2020-10-03
40,40.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6720,6800,6760,18 Sep 2020,2020,Sep,18,2020-09-18
41,41.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6720,6800,6760,19 Sep 2020,2020,Sep,19,2020-09-19
42,42.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6720,6800,6760,21 Sep 2020,2020,Sep,21,2020-09-21
43,43.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6720,6800,6760,22 Sep 2020,2020,Sep,22,2020-09-22
44,44.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6720,6800,6760,23 Sep 2020,2020,Sep,23,2020-09-23
45,45.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6720,6800,6760,29 Sep 2020,2020,Sep,29,2020-09-29
46,46.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6720,6820,6760,14 Oct 2020,2020,Oct,14,2020-10-14
47,47.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6720,7800,6750,15 Sep 2020,2020,Sep,15,2020-09-15
48,48.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6725,6800,6750,04 Sep 2020,2020,Sep,4,2020-09-04
49,49.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6725,6800,6750,05 Oct 2020,2020,Oct,5,2020-10-05
50,50.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6725,6800,6750,24 Sep 2020,2020,Sep,24,2020-09-24
51,51.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6725,6800,6760,02 Oct 2020,2020,Oct,2,2020-10-02
52,52.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6725,6800,6760,02 Sep 2020,2020,Sep,2,2020-09-02
53,53.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6725,6800,6760,03 Sep 2020,2020,Sep,3,2020-09-03
54,54.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6725,6800,6760,05 Sep 2020,2020,Sep,5,2020-09-05
55,55.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6725,6800,6760,06 Oct 2020,2020,Oct,6,2020-10-06
56,56.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6725,6800,6760,07 Oct 2020,2020,Oct,7,2020-10-07
57,57.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6725,6800,6760,08 Oct 2020,2020,Oct,8,2020-10-08
58,58.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6725,6800,6760,10 Oct 2020,2020,Oct,10,2020-10-10
59,59.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6725,6800,6760,12 Oct 2020,2020,Oct,12,2020-10-12
60,60.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6725,6800,6760,26 Sep 2020,2020,Sep,26,2020-09-26
61,61.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6725,6800,6760,28 Sep 2020,2020,Sep,28,2020-09-28
62,62.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6725,6800,6760,30 Sep 2020,2020,Sep,30,2020-09-30
63,63.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6725,6820,6760,13 Oct 2020,2020,Oct,13,2020-10-13
64,64.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6726,6800,6760,16 Sep 2020,2020,Sep,16,2020-09-16
65,65.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6730,6800,6760,01 Sep 2020,2020,Sep,1,2020-09-01
66,66.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6730,6820,6780,15 Oct 2020,2020,Oct,15,2020-10-15
67,67.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6750,6820,6800,16 Oct 2020,2020,Oct,16,2020-10-16
68,68.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6750,6860,6800,17 Oct 2020,2020,Oct,17,2020-10-17
69,69.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6750,6860,6800,19 Oct 2020,2020,Oct,19,2020-10-19
70,70.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6750,6860,6800,20 Oct 2020,2020,Oct,20,2020-10-20
71,71.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6760,6850,6800,04 Nov 2020,2020,Nov,4,2020-11-04
72,72.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6760,6850,6800,21 Oct 2020,2020,Oct,21,2020-10-21
73,73.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6760,6850,6800,23 Nov 2020,2020,Nov,23,2020-11-23
74,74.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6760,6850,6800,27 Oct 2020,2020,Oct,27,2020-10-27
75,75.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6760,6850,6800,28 Oct 2020,2020,Oct,28,2020-10-28
76,76.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6760,6850,6820,22 Oct 2020,2020,Oct,22,2020-10-22
77,77.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6760,6850,6820,23 Oct 2020,2020,Oct,23,2020-10-23
78,78.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6780,6850,6800,03 Nov 2020,2020,Nov,3,2020-11-03
79,79.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6780,6850,6800,29 Oct 2020,2020,Oct,29,2020-10-29
80,80.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6780,6850,6800,31 Oct 2020,2020,Oct,31,2020-10-31
81,81.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6780,6860,6800,25 Oct 2020,2020,Oct,25,2020-10-25
82,82.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6780,6860,6820,24 Oct 2020,2020,Oct,24,2020-10-24
83,83.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6780,6860,6820,30 Oct 2020,2020,Oct,30,2020-10-30
84,84.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6780,7200,7000,06 Mar 2021,2021,Mar,6,2021-03-06
85,85.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6800,6850,6820,06 Nov 2020,2020,Nov,6,2020-11-06
86,86.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6800,6850,6820,07 Nov 2020,2020,Nov,7,2020-11-07
87,87.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6800,6850,6820,11 Nov 2020,2020,Nov,11,2020-11-11
88,88.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6800,6860,6820,05 Nov 2020,2020,Nov,5,2020-11-05
89,89.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6800,6860,6820,14 Nov 2020,2020,Nov,14,2020-11-14
90,90.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6800,6880,6860,16 Nov 2020,2020,Nov,16,2020-11-16
91,91.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6800,6885,6860,10 Nov 2020,2020,Nov,10,2020-11-10
92,92.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6800,6900,6860,24 Nov 2020,2020,Nov,24,2020-11-24
93,93.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6800,6920,6850,28 Nov 2020,2020,Nov,28,2020-11-28
94,94.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6800,7000,6860,05 Dec 2020,2020,Dec,5,2020-12-05
95,95.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6800,7000,6860,15 Dec 2020,2020,Dec,15,2020-12-15
96,96.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6800,7000,6860,18 Nov 2020,2020,Nov,18,2020-11-18
97,97.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6800,7000,6860,27 Nov 2020,2020,Nov,27,2020-11-27
98,98.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6800,7000,6950,02 Dec 2020,2020,Dec,2,2020-12-02
99,99.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6800,7000,6950,09 Dec 2020,2020,Dec,9,2020-12-09
100,100.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6800,7000,6950,25 Nov 2020,2020,Nov,25,2020-11-25
101,101.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6800,7200,7000,06 Jan 2021,2021,Jan,6,2021-01-06
102,102.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6800,7200,7000,08 Jan 2021,2021,Jan,8,2021-01-08
103,103.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6800,7260,7000,13 Feb 2021,2021,Feb,13,2021-02-13
104,104.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,6900,6875,17 Nov 2020,2020,Nov,17,2020-11-17
105,105.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7000,6900,08 Dec 2020,2020,Dec,8,2020-12-08
106,106.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7000,6950,13 Nov 2020,2020,Nov,13,2020-11-13
107,107.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,01 Feb 2021,2021,Feb,1,2021-02-01
108,108.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,02 Feb 2021,2021,Feb,2,2021-02-02
109,109.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,02 Jan 2021,2021,Jan,2,2021-01-02
110,110.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,06 Feb 2021,2021,Feb,6,2021-02-06
111,111.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,07 Jul 2021,2021,Jul,7,2021-07-07
112,112.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,07 Jun 2021,2021,Jun,7,2021-06-07
113,113.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,10 Mar 2021,2021,Mar,10,2021-03-10
114,114.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,10 May 2021,2021,May,10,2021-05-10
115,115.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,11 Feb 2021,2021,Feb,11,2021-02-11
116,116.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,12 May 2021,2021,May,12,2021-05-12
117,117.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,15 Jul 2021,2021,Jul,15,2021-07-15
118,118.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,16 Dec 2020,2020,Dec,16,2020-12-16
119,119.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,16 Mar 2021,2021,Mar,16,2021-03-16
120,120.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,18 Aug 2021,2021,Aug,18,2021-08-18
121,121.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,18 Mar 2021,2021,Mar,18,2021-03-18
122,122.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,19 Jul 2021,2021,Jul,19,2021-07-19
123,123.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,19 Jun 2021,2021,Jun,19,2021-06-19
124,124.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,19 May 2021,2021,May,19,2021-05-19
125,125.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,21 Jul 2021,2021,Jul,21,2021-07-21
126,126.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,21 May 2021,2021,May,21,2021-05-21
127,127.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,22 Apr 2021,2021,Apr,22,2021-04-22
128,128.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,22 Dec 2020,2020,Dec,22,2020-12-22
129,129.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,23 Dec 2020,2020,Dec,23,2020-12-23
130,130.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,24 Apr 2021,2021,Apr,24,2021-04-24
131,131.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,24 Feb 2021,2021,Feb,24,2021-02-24
132,132.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,25 Dec 2020,2020,Dec,25,2020-12-25
133,133.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,25 Jan 2021,2021,Jan,25,2021-01-25
134,134.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,26 Apr 2021,2021,Apr,26,2021-04-26
135,135.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,26 Jul 2021,2021,Jul,26,2021-07-26
136,136.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,27 Jul 2021,2021,Jul,27,2021-07-27
137,137.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,28 Jul 2021,2021,Jul,28,2021-07-28
138,138.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,30 Dec 2020,2020,Dec,30,2020-12-30
139,139.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,31 Dec 2020,2020,Dec,31,2020-12-31
140,140.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7200,7000,31 Mar 2021,2021,Mar,31,2021-03-31
141,141.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7220,7000,22 May 2021,2021,May,22,2021-05-22
142,142.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,01 May 2021,2021,May,1,2021-05-01
143,143.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,01 Sep 2021,2021,Sep,1,2021-09-01
144,144.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,03 Apr 2021,2021,Apr,3,2021-04-03
145,145.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,03 Aug 2021,2021,Aug,3,2021-08-03
146,146.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,04 Aug 2021,2021,Aug,4,2021-08-04
147,147.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,05 Mar 2021,2021,Mar,5,2021-03-05
148,148.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,05 May 2021,2021,May,5,2021-05-05
149,149.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,06 Jun 2021,2021,Jun,6,2021-06-06
150,150.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,07 Aug 2021,2021,Aug,7,2021-08-07
151,151.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,08 Apr 2021,2021,Apr,8,2021-04-08
152,152.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,08 Jul 2021,2021,Jul,8,2021-07-08
153,153.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,09 Jan 2021,2021,Jan,9,2021-01-09
154,154.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,10 Apr 2021,2021,Apr,10,2021-04-10
155,155.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,10 Feb 2021,2021,Feb,10,2021-02-10
156,156.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,10 Jan 2021,2021,Jan,10,2021-01-10
157,157.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,13 Apr 2021,2021,Apr,13,2021-04-13
158,158.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,13 Mar 2021,2021,Mar,13,2021-03-13
159,159.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,14 Apr 2021,2021,Apr,14,2021-04-14
160,160.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,14 Jul 2021,2021,Jul,14,2021-07-14
161,161.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,16 Apr 2021,2021,Apr,16,2021-04-16
162,162.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,16 Feb 2021,2021,Feb,16,2021-02-16
163,163.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,17 Mar 2021,2021,Mar,17,2021-03-17
164,164.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,19 Feb 2021,2021,Feb,19,2021-02-19
165,165.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,20 Apr 2021,2021,Apr,20,2021-04-20
166,166.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,20 Mar 2021,2021,Mar,20,2021-03-20
167,167.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,21 Apr 2021,2021,Apr,21,2021-04-21
168,168.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,23 Apr 2021,2021,Apr,23,2021-04-23
169,169.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,23 Feb 2021,2021,Feb,23,2021-02-23
170,170.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,24 Mar 2021,2021,Mar,24,2021-03-24
171,171.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,24 May 2021,2021,May,24,2021-05-24
172,172.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,25 Apr 2021,2021,Apr,25,2021-04-25
173,173.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,25 May 2021,2021,May,25,2021-05-25
174,174.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,27 Apr 2021,2021,Apr,27,2021-04-27
175,175.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,27 Jan 2021,2021,Jan,27,2021-01-27
176,176.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,27 Mar 2021,2021,Mar,27,2021-03-27
177,177.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,28 Apr 2021,2021,Apr,28,2021-04-28
178,178.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,29 Apr 2021,2021,Apr,29,2021-04-29
179,179.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,29 Jan 2021,2021,Jan,29,2021-01-29
180,180.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,30 Apr 2021,2021,Apr,30,2021-04-30
181,181.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,30 Jun 2021,2021,Jun,30,2021-06-30
182,182.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7000,30 Mar 2021,2021,Mar,30,2021-03-30
183,183.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7250,7200,19 Jan 2021,2021,Jan,19,2021-01-19
184,184.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7260,7000,01 Aug 2021,2021,Aug,1,2021-08-01
185,185.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7260,7000,08 Mar 2021,2021,Mar,8,2021-03-08
186,186.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7260,7000,08 May 2021,2021,May,8,2021-05-08
187,187.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7260,7000,10 Jul 2021,2021,Jul,10,2021-07-10
188,188.0,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,6850,7260,7000,15 Apr 2021,2021,Apr,15,2021-04-15
